Kod,ÚTVAR,ADRESA,TELEFON,FAX,EMAIL
0310,Územní odbor Tachov,"Plánská 2032, 347 01 Tachov",974337111,974337238,pcrortc@mvcr.cz  
031011,OOP Bor,"Sadová 613, 348 02 Bor ",974337720,374790316,tcoobor@mvcr.cz
031012,OOP Planá,"Tachovská 874, 348 15 Planá",974337740,374793075,tcoopplana@mvcr.cz
031013,OOP Stříbro,"Tř. 5.května 813, 349 01 Stříbro ",974337730,374622194,tcoopstrib@mvcr.cz
031014,OOP Tachov,"Plánská 2018, 347 01 Tachov",974337710,974337718,tcoop@mvcr.cz
031015,OOP Konstantinovy Lázně,"Tichá 5, 349 52 Konstantinovy Lázně",974337750,374625576,tcoopklazn@mvcr.cz
0311,Územní odbor Plzeň - venkov,"Anglické nábřeží 7, 306 10 Plzeň",974326229,974326218,pjorpj@mvcr.cz
031110,OOP Blovice,"Hradišťská 136, 336 01 Blovice ",974326710,371523108,pjoopblov@mvcr.cz  
031111,OOP Dobřany,"Lipová 456, 334 41 Dobřany",974326720,377971820,pjoopdobra@mvcr.cz
031112,OOP Kaznějov,"Školní 478, 351 51 Kaznějov",373332158,373332082,psoopkazne@mvcr.cz
031113,OOP Kralovice (+ PS Manětín),"Manětínská 396, 331 41 Kralovice",373396466,373396301,psoopkralo@mvcr.cz  
031114,OOP Město Touškov,"Dolní nám. 1, 330 33 Město Touškov",377922220,377922010,psoopmtous@mvcr.cz
031115,OOP Nepomuk,"Nádražní 292, 335 01 Nepomuk ",974326730,371592258,pjoopnepom@mvcr.cz 
031116,OOP Nýřany,"Křížíkova 394, 330 23 Nýřany ",377931158,377931957,psoopnyran@mvcr.cz
031117,OOP Přeštice,"Masarykovo náměstí 105, 334 01 Přeštice",974326740,377981233,pjoopprest@mvcr.cz
031118,OOP Stod,"Hradecká 320, 333 01 Stod ",974326760,377901020,pjoopstod@mvcr.cz 
031119,OOP Třemošná,"Šeříková 412, 330 11 Třemošná",377953415,377954422,psooptremo@mvcr.cz 
031120,OOP Úněšov,"Úněšov 70, 330 38 Úněšov",373315224,373315324,psoopuneso@mvcr.cz
0400,Krajské ředitelství policie Ústeckého kraje,"Lidické náměstí 9, 401 79 Ústí nad Labem",974421229,974427006,krssck@mvcr.cz
0402,Územní odbor Děčín,"Kaštanová 2, 405 58 Děčín",974432111,974432108,pcrdecin@mvcr.cz
040210,OOP Benešov nad Ploučnicí,"Míru 1, 407 22 Benešov nad Ploučnicí",974432701,412586333,dcoopbene@mvcr.cz
040212,OOP Česká Kamenice,"Duk. Hrdinů 457, 407 21 Česká Kamenice",974432711,412582371,dcoopckam@mvcr.cz
040213,OOP Děčín - Podmokly (+PS Jílové),"Tržní, 7405 02  Děčín 4",974432651,412530067,dcoop@mvcr.cz
040214,OOP Krásná Lípa,"Stradalova 1027, 407 46 Krásná Lípa",974432731,412383277,dcoopklipa@mvcr.cz
040216,OOP Rumburk,"Třída 9. května, 408 11 Rumburk",974442651,412310598,dcooprbk@mvcr.cz
040217,OOP Šluknov,"Sokolovská 1036, 407 77 Šluknov",974432751,974432758,dcoopsluk@mvcr.cz
040218,OOP Varnsdorf,"Havlíčkova 2040/9, 407 47 Varnsdorf",974432741,412372377,dcoopvdf@mvcr.cz
040219,OOP Velký Šenov,"Lipovská 551, 407 78 Velký Šenov",974432761,412391333,dcoopvsen@mvcr.cz
040236,OOP Děčín-město (+PS Hřensko),"Čsl. Mládeže 89/4, 405 02 Děčín",974432771,412530067,dcoop@mvcr.cz
0403,Územní odbor Chomutov,"Riegrova 4510, 430 01 Chomutov",974433111,974433900,cvkr@mvcr.cz
040310,OOP Březno (+PS Radonice),"Dlouhá 36, 431 45 Březno",974433750,474692237,cvoopbr@mvcr.cz
040311,OOP Chomutov - město,"náměstí T.G.Masaryka 3100, 430 01 Chomutov",974447651,974447901,cvoop1@mvcr.cz
040312,OOP Jirkov,"Bezručova 1037, 431 11 Jirkov",974447500,474659537,cvoopji@mvcr.cz
040313,OOP Kadaň,"Klášterecká 1483, 432 01 Kadaň",974434700,474334535,cvoopka@mvcr.cz
040314,OOP Klášterec nad Ohří,"Polní 685, 431 51 Klášterec nad Ohří",974434600,474396203,cvoopkl@mvcr.cz
040319,OOP Vejprty,"Boženy Němcové 1204/22, 431 91 Vejprty",974434500,474386382,cvoopve@mvcr.cz
040321,OOP Chomutov - Kamenná,"Riegrova 4510, 430 01 Chomutov ",974433700,974433910,cvoop2@mvcr.cz
040323,OOP Chomutov - Černovická,"nám. T. G. Masaryka 1168, 430 01 Chomutov ",974447700,474621136,cvoop3@mvcr.cz
0406,Územní odbor Litoměřice,"Eliášova 7, 412 48 Litoměřice",974436215,974436900,pcrlt@mvcr.cz
040611,OOP Litoměřice (+PS Úštěk a Terezín),"Stránského 1, 412 48 Litoměřice",974436651,974436911,ltoop@mvcr.cz
040613,OOP Lovosice (+ PS Libochovice),"Žižkova 469/10, 410 02 Lovosice",974436701,974436704,ltooplovo@mvcr.cz
040614,OOP Roudnice nad Labem,"Riegrova 636, 413 01 Roudnice nad Labem",974444700,416837351,ltooproud@mvcr.cz
040615,OOP Štětí,"Stračenská 315, 411 08 Štětí",974436721,974436723,ltoopsteti@mvcr.cz
0407,Územní odbor Louny,"Cukrovarská zahrada 1124, 440 53 Louny",974437111,974437108,srorln@mvcr.cz
040713,OOP Louny,"Cukrovarská zahrada 1124, 440 53 Louny  ",974437651,974437905,lnoop@mvcr.cz
040717,OOP Podbořany (+PS Kryry),"Hlubanská 314, 441 01 Podbořany ",974445700,415214186,lnooppodbo@mvcr.cz
040718,OOP Postoloprty,"Žižkova 338, 439 42 Postoloprty",974437700,415783176,lnooppostolo@mvcr.cz
040719,OOP Žatec,"Dlouhá 111, 438 01 Žatec ",974446700,415712289,lnoopzatec@mvcr.cz
0408,Územní odbor Most,"V.Řezáče 224, 434 75 Most",974438111,974438228,mouo@mvcr.cz
040812,OOP Litvínov (+PS Lom a Meziboří),"Vodní 871, 436 01 Litvínov",476753033,476753033, mooplitvi@mvcr.cz
040814,OOP Most,"Václava Řezáče 224, 434 01 Most  ",974438611,974438610,mooop1@mvcr.cz
040815,OOP Obrnice,"Obrnice 226 , 435 21 Obrnice",476118034,476000586,moopobrni@mvcr.cz
040817,OOP Litvínov - Hamr (+PS Nová Ves v Horách),"Přátelství 157, 435 42 Litvínov 8",476742090,476701842, moophamr@mvcr.cz
040819,OOP Most - Zahradní,"Růžová 1406, 434 01 Most",476703787,476701209,mooop2@mvcr.cz
0409,Územní odbor Teplice,"Masarykova třída 1363, 415 96 Teplice",974439111,974439109,rediteltp@mvcr.cz
040910,OOP Bílina,"Studentská 874/94, 418 23 Bílina",417823333,417535893,tpoopbili@mvcr.cz
040911,OOP Dubí,"Krušnohorská 124/2, 417 01 Dubí",417530741,417560734,tpoopdubi@mvcr.cz
040912,OOP Duchcov,"Sadová 1213/13, 419 01 Duchcov",417835444,417836022,tpoopduch@mvcr.cz
040915,OOP Krupka,"K. Čapka 273, 417 42 Krupka",417861244,417535477,tpoopkrup@mvcr.cz
040917,OOP Prosetice,"Prosetická 283, 415 01 Teplice",417538700,417533923,tpoopprose@mvcr.cz
040918,OOP Teplice,"Vrchlického 10, 415 01 Teplice",417569471,417536090,tpoop@mvcr.cz
040920,OOP Trnovany,"Maršovská 1537, 415 01 Teplice",417570160,417537799,tpooptrno@mvcr.cz
0410,Územní odbor Ústí nad Labem,"Dlouhá 2, 400 67 Ústí nad Labem",974426111,974427032,orustinl@mvcr.cz 
041010,OOP Chlumec (+ PS Libouchec),"Muchova 226, 403 39 Chlumec",475223234,974427099,uloopchl@mvcr.cz
041012,OOP Neštěmice,"Horní 194, 403 31 Ústí nad Labem - Mojžíř",974426721,472733827,uloopnes@mvcr.cz
041013,OOP Ústí nad Labem-město,"Masarykova 47, 400 01 Ústí nad Labem",974426651,974427024,oruloop1@mvcr.cz 
041014,OOP Střekov (+ PS Velké Březno),"Truhlářova 30, 400 03 Ústí nad Labem",974426711,475531717,uloopstr@mvcr.cz
041015,OOP Trmice,"Lovecká 10, 400 04 Trmice",974426741,974426741,ulooptrm@mvcr.cz
041016,OOP Všebořice,"Všebořická 11, 400 10 Ústí nad Labem",974426751,475601326,uloopvse@mvcr.cz
041020,OOP Ústí nad Labem - Krásné Březno," Předmostí 50, 400 02 Ústí nad Labem ",974426761,475501310,uloopkrb@mvcr.cz
0500,Krajské ředitelství policie Královéhradeckého kraje ,"Ulrichovo nám. 810, 501 01 Hradec Králové",974521111,974521228, krp.khk@mvcr.cz
0502,Územní odbor Hradec králové ,"Mrštíkova 541, 500 09 Hradec Králové",974521111,974526900,hkvs@mvcr.cz
050210,OOP Hradec Králové 1,"Gočárova třída 1653, 500 02 Hradec Králové 2",974526651,974526652,hkoop1@mvcr.cz
050211,OOP Hradec Králové 2,"Pospíšilova třída 1103, 500 03 Hradec Králové 3",974526661,974526668,hkoop2@mvcr.cz
050212,OOP Chlumec nad Cidlinou,"Pražská 82, 503 51 Chlumec nad Cidlinou",974526711,974526718,hkoopchlum@mvcr.cz
050215,OOP Nový Bydžov (+PS Nechanice),"A. Jiráska 545, 504 01 Nový Bydžov",974526731,974526738,hkoopnoby@mvcr.cz
050216,OOP Holohlavy,"Na Výsluní 171, 503 03 Holohlavy",974526701,974526708,hkoophol@mvcr.cz
050217,OOP Třebechovice pod Orebem,"Žižkova 850, 503 46 Třebechovice pod Orebem",974526741,974526748,hkooptreb@mvcr.cz
050218,OOP Hradec Králové 3,"Mrštíkova 541, 500 09 Hradec Králové",974526671,974526678,hkoop3@mvcr.cz
0504,Územní odbor Jičín,"Balbínova 24, 506 12 Jičín",974533111,974533228,jcvs@mvcr.cz
050410,OOP Hořice,"Nám. Jiřího z Poděbrad 158, 508 01 Hořice",974533701,974533701,jcoophor@mvcr.cz
050411,OOP Jičín,"Balbínova 23, 506 12 Jičín",974533651,974533940,jcoop@mvcr.cz
050412,OOP Kopidlno,"Tomáše Svobody 106, 507 32 Kopidlno",974533711,974533711,jcoopkop@mvcr.cz
050414,OOP Nová Paka,"U Stadionu 37, 509 01 Nová Paka",974533721,974533721,jcoopnopa@mvcr.cz
050415,OOP Sobotka ,"Boleslavská 329, 507 43 Sobotka ",974533731,974533731,jcoopsob@mvcr.cz
0505,Územní odbor Náchod,"Husovo nám. 698, 547 45 Náchod",974534111,974534108,napcr@mvcr.cz
050510,OOP Broumov,"T.G. Masaryka 248, 550 01 Broumov",974534701,974534708,naoopbrou@mvcr.cz
050512,OOP Česká Skalice,"Pivovarská 54, 552 03 Česká Skalice",974534721,974534728,naoopcesk@mvcr.cz
050513,OOP Hronov (+ PS Červený Kostelec),"Jiráskova 169, 549 31 Hronov",974534731,974534731,naoophron@mvcr.cz
050514,OOP Jaroměř,"Patrného 270, 551 01 Jaroměř",974534741,974534748,naoopjar@mvcr.cz
050515,OOP Náchod,"Husovo náměstí 698, 547 45 Náchod",974534651,974534658,naoop@mvcr.cz
050516,OOP Nové Město nad Metují,"Komenského 146, 549 01 Nové Město nad Metují",974534751,974534758,naoopnome@mvcr.cz
050517,OOP Police nad Metují (+ PSTeplice nad Metují),"U Opatrovny 87, 549 54 Police nad Metují",974534761,974534761,naooppol@mvcr.cz
0507,Územní odbor Rychnov nad Kněžnou,"Zborovská 1360, 560 01 Rychnov nad Kněžnou",974536111,974536228,rkvs@mvcr.cz
050710,OOP Dobruška (+ PS Opočno),"Šubertovo náměstí 516, 518 01 Dobruška",974536701,974536708,rkoopdobr@mvcr.cz 
050711,OOP Kostelec nad Orlicí,"Rudé armády 3, 517 41 Kostelec nad Orlicí",974536711,974536718,rkoopkost@mvcr.cz
050713,OOP Rokytnice v Orlických horách,"nám.T.G. Masaryka 4, 517 61 Rokytnice v Orl. hor.",974536731,974536738,rkooprok@mvcr.cz
050714,OOP Rychnov nad Kněžnou,"Zborovská 1360, 516 01 Rychnov nad Kněžnou",974536651,974536658,rkoop@mvcr.cz 
050716,OOP Týniště nad Orlicí,"Čapkova 645, 517 21 Týniště nad Orlicí",974536721,974536728,rkooptyn@mvcr.cz
0510,Územní odbor Trutnov,"Roty Nazdar 497, 541 11 Trutnov",974539111,974539228,ortu@mvcr.cz
051011,OOP Dvůr Králové nad Labem,"Legionářská 1234, 544 01 Dvůr Králové nad Labem",974539701,974539708,tuoopdk@mvcr.cz
051012,OOP Hostinné,"Horská 520, 543 71 Hostinné",974539711,974539718,tuoophost@mvcr.cz
051015,OOP Svoboda nad Úpou,"Lázeňská 215, 542 24 Svoboda nad Úpou",974539731,974539731,tuoopsvob@mvcr.cz
051016,OOP Trutnov,"Roty Nazdar 496, 541 11 Trutnov",974539651,974539940,tuoop@mvcr.cz
051017,OOP Úpice,"Regnerova 265, 542 32 Úpice",974539751,974539758,tuoopupic@mvcr.cz
051018,OOP Vrchlabí ,"Zámecká 53, 543 01 Vrchlabí ",974539761,974539768,tuoopvrch@mvcr.cz
051019,OOP Pec pod Sněžkou,"Velká Úpa 164, 542 22 Pec pod Sněžkou",974539721,974539721,tuooppec@mvcr.cz
051020,OOP Špindlerův Mlýn,"Bedřichov 53, 543 51 Špindlerův Mlýn",974539741,974539748,tuoopspm@mvcr.cz
051021,OOP Žacléř,"Komenského 71, 542 01 Žacléř",974539771,974539778,tuoopzac@mvcr.cz
0600,Krajské ředitelství policie Jihomoravského kraje,"Kounicova 24, 611 32 Brno",974621111,974625508,redbrn@mvcr.cz
0602,Městské ředitelství Brno,"Cejl 4/6, 611 38 Brno",974621111,974625508,bmkr@mvcr.cz
060210,OOP Brno-střed,"Běhounská 1, 602 00 Brno",974621111,974624408,mrpb.oop.stred.podatelna@pcr.cz
060211,OOP Brno-Žabovřesky,"Veveří 47/49, 611 38 Brno",974624202,974624205,mrpb.oop.zabovresky.podatelna@pcr.cz
060212,OOP Brno-sever,"Příční 31, 602 00 Brno",974621111,974625432,mrpb.oop.sever.podatelna@pcr.cz
060213,OOP Brno-Židenice,"Nopova 86, 615 00 Brno",974621111,974623586,mrpb.oop.zidenice.podatelna@pcr.cz
060214,OOP Brno-Královo Pole,"Malátova 3, 602 00 Brno",974621111,974624745,mrpb.oop.krpole.podatelna@pcr.cz
060216,OOP Brno-Komárov,"Zvonařka 18, 617 00 Brno",974621111,974623665,mrpb.oop.komarov.podatelna@pcr.cz
060218,OOP Brno-Výstaviště,"Horní 21, 639 00 Brno ",974621111,974626488,mrpb.oop.vystaviste.podatelna@pcr.cz
060219,OOP Brno-Bystrc,"Nám. 28. dubna 9, 635 00 Brno",974621111,974628831,mrpb.oop.bystrc.podatelna@pcr.cz
0603,Územní odbor Brno-venkov,"Rybářská 17, 611 33 Brno",974626229,974626440,uovsbrnov@policiebrno.cz  
060310,OOP Šlapanice ,"Masarykovo nám. 13, 664 51 Šlapanice ",974626740,974626748,bo.oop.slapanice.podatelna@pcr.cz
060312,OOP Ivančice,"Josefa Vávry 30, 664 91 Ivančice",974626441,974626708,  bo.oop.ivancice.podatelna@pcr.cz
060313,OOP Kuřim,"Svatopluka Čecha 967, 664 34 Kuřim",974626710,974626718,bo.oop.kurim.podatelna@pcr.cz
060315,OOP Rosice,"Komenského nám. 263, 665 01 Rosice",974626730,974626738,bo.oop.rosice.podatelna@pcr.cz
060316,OOP Pohořelice,"Loděnická 754, 691 23 Pohořelice",974632791,519424575,bv.oop.pohorelice.podatelna@pcr.cz
060317,OOP Tišnov,"Majorova 763, 666 01 Tišnov",974626446,974626446,bo.oop.tisnov.podatelna@pcr.cz
060320,OOP Židlochovice,"Masarykova 102, 667 01 Židlochovice",974626760,974626768,bo.oop.zidlochovice.podatelna@pcr.cz
060322,OOP Rajhrad,"Štefánikova 109, 664 61 Rajhrad",974626720,974626728,bo.oop.rajhrad.podatelna@pcr.cz
0604,Územní odbor Břeclav,"Národních hrdinů 15, 690 16 Břeclav",974632905,974632219,krbv@mvcr.cz
060410,OOP Břeclav,"Národních Hrdinů 21, 690 16 Břeclav",974632701,974632709, bv.oop.breclav.podatelna@pcr.cz
060412,OOP Hustopeče (+PS Velké Pavlovice),"Husova 7, 693 01 Hustopeče",974632741,974632750,bv.oop.hustopece.podatelna@pcr.cz
060415,OOP Mikulov,"U lomu 561E, 692 01 Mikulov",974632781,974632785,bv.oop.mikulov.podatelna@pcr.cz 
0606,Územní odbor Hodonín,"Velkomoravská 16, 695 29 Hodonín",974633111,974633238,hodonin@mvcr.cz
060612,OOP Dubňany,"U zdravotního střediska 1541, 696 03 Dubňany",974633580,974633588,hooopdubna@mvcr.cz
060613,OOP Hodonín,"Velkomoravská 16, 695 29 Hodonín",974633470,974633468,hooop@mvcr.cz
060614,OOP Kyjov,"Boršovská 2077/1a, 697 11 Kyjov",974633500,974633508,hooopkyjov@mvcr.cz
060615,OOP Strážnice,"nám. 17. listopadu 1542, 696 62 Strážnice",974633540,974633548,hooopstraz@mvcr.cz
060617,OOP Veselí nad Moravou,"Masarykova 115, 698 01 Veselí nad Moravou",974633520,974633528,hooopvnm@mvcr.cz 
0613,Územní odbor Znojmo,"Pražská 59, 670 20 Znojmo",974641229,974641671,pcrznpis@mvcr.cz
061310,OOP Hrušovany nad Jevišovkou,"nám. Míru 87, 671 67 Hrušovany nad Jevišovkou",974641840,974641845,znoophrus@mvcr.cz
061312,OOP Jevišovice,"Jevišovice 337, 671 53 Jevišovice",974641602,974641612,znoopjevis@mvcr.cz 
061315,OOP Moravský Krumlov,"Školní 163, 672 01 Moravský Krumlov",974641650,974641613,znoopmkru@mvcr.cz
061319,OOP Vranov nad Dyjí,"8. května 155, 671 03 Vranov nad Dyjí",974641605,974641627,znoopvnd@mvcr.cz
061320,OOP Znojmo (+PS Prosiměřice),"Pražská 59, 670 20 Znojmo",974641606,974641676,znoop@mvcr.cz
0618,Územní odbor Blansko - Vyškov,"Bezručova 31, 678 01 Blansko",974631111,974631218,orbksekr@mvcr.cz 
061811,OOP Blansko,"Bezručova 31, 678 01 Blansko",974631396,974631382, bkoop@mvcr.cz
061812,OOP Boskovice,"Masarykovo náměstí 5, 680 01 Boskovice",974631730,974631738,bkoopbosk@mvcr.cz
061816,OOP Letovice,"Masarykovo náměstí 17, 679 61 Letovice",974631770,974631778,bkoopleto@mvcr.cz
061817,OOP Bučovice,"Součkova 433, 685 01 Bučovice",974639820,517381333,vyoopbucov@mvcr.cz
061818,OOP Slavkov u Brna,"Palackého náměstí 65, 684 01 Slavkov u Brna",974639810,974639810,vyoopsub@mvcr.cz
061819,OOP Vyškov (+PS Rousínov),"Brněnská 7a, 682 11 Vyškov",974639450,974639711,vyoop@mvcr.cz
0700,Krajské ředitelství policie Moravskoslezského kraje,"30. dubna 24, 728 99 Moravská Ostrava a Přívoz",974721111,974721900,ssmkzastup@mvcr.cz
0701,Územní odbor Bruntál,"Partyzánská 9, 792 01 Bruntál",974731111,974731900,krbr@mvcr.cz 
070110,OOP Bruntál,"Sladovnická 14, 792 01 Bruntál",974731651,974731658,broop@mvcr.cz
070113,OOP Krnov,"Albrechtická 1, 794 01 Krnov",974731731,554637618,broopkrnov@mvcr.cz
070114,OOP Město Albrechtice,"Osvobození 7, 793 95 Město Albrechtice",974731771,554646069,broopalbre@mvcr.cz
070116,OOP Rýmařov,"J. Sedláka 12, 795 01 Rýmařov",974731751,974731758,brooprymar@mvcr.cz
070117,OOP Vrbno pod Pradědem,"Nádražní 583, 793 26 Vrbno pod Pradědem",974731761,974731765,broopvrbno@mvcr.cz
0702,Územní odbor Frýdek-Místek,"Beskydská 2061, 738 19 Frýdek-Místek",974732111,974732900,krfm@mvcr.cz
070211,OOP Brušperk,"Policejní 195, 739 44 Brušperk",974732701,558666522,fmoopbrusp@mvcr.cz
070213,OOP Nošovice,"Nošovice 155, 739 51 Nošovice",974732711,558638639,fmoopnosovice@mvcr.cz
070214,OOP Frýdek-Místek,"Hlavní 110, 738 02  Frýdek-Místek",974732651,974732940,oopfm@mvcr.cz
070215,OOP Frýdlant nad Ostravicí,"5. května 1419, 739 11 Frýdlant nad Ostravicí",974732731,558442012,fmoopfrydl@mvcr.cz
070216,OOP Hnojník,"Hnojník 222, 739 53 Hnojník",974732741,974732748,fmoophnoj@mvcr.cz
070217,OOP Jablunkov,"Nádražní 202, 739 91 Jablunkov",974732751,558358050,fmoopjablu@mvcr.cz
070218,OOP Palkovice,"Palkovice 448, 739 41 Palkovice",974732771,558656190,fmooppalk@mvcr.cz
070221,OOP Třinec,"1.máje 124, 739 61 Třinec",974732781,974732788,fmooptrine@mvcr.cz
0703,Územní odbor Karviná,"Havířská 1511/26, 735 06 Karviná - Nové Město",974734111,974734900,pcrorka@mvcr.cz
070310,OOP Těrlicko ,"Přehradní 371/11, 735 42 Těrlicko ",596423067,596423068,kaoopterli@mvcr.cz
070311,OOP Český Těšín,"náb. Míru 20, 737 01 Český Těšín",558731800,558712567,kaoopctesi@mvcr.cz
070312,OOP Havířov 1,"Sv. Čecha 1, 736 01 Havířov-Město ",596805541,974744658,kaoophav1@mvcr.cz
070314,OOP Horní Suchá ,"Stonavská 365, 735 35 Horní Suchá ",596425556,596425485,kaoophsuch@mvcr.cz
070315,OOP Karviná 1,"U Svobodáren 1298, 735 06 Karviná - Nové Město",974734651,974734658,kaoopkar1@mvcr.cz
070316,OOP Karviná 7,"Stavbařů 2198, 734 01 Karviná-Mizerov",596342333,974734778,kaoopkar7@mvcr.cz
070317,OOP Bohumín,"9. května 658, 735 81 Bohumín",596097512,974734708,kaoopbohum@mvcr.cz
070318,OOP Orlová,"Slezská 1370, 735 13 Orlová-Poruba",596523333,596513558,kaooporlov@mvcr.cz
070319,OOP Petřvald,"Ostravská 924, 735 41 Petřvald",596541124,596512103,kaooppetrv@mvcr.cz
070320,OOP Dětmarovice,"Dětmarovice 964, 735 71 Dětmarovice",596550144,596550198,kaoopdetma@mvcr.cz
070321,OOP Havířov 3,"Moravská 31, 736 01 Havířov-Šumbark",596884863,974734758,kaoophav3@mvcr.cz
0704,Územní odbor Nový Jičín,"Svatopluka Čecha 11, 741 11 Nový Jičín",974735111,974735900,vedeninj@mvcr.cz
070410,OOP Bílovec,"Pivovarská 13/15, 743 01 Bílovec ",556410834,974735701,bilovec@mvcr.cz
070411,OOP Frenštát pod Radhoštěm,"Rožnovská 241, 74401 Frenštát pod Radhoštěm",556835333,974735718,njoopfren@mvcr.cz
070412,OOP Fulnek ,"Masarykova 63, 742 45 Fulnek ",974735721,556455328,njoopfulne@mvcr.cz
070413,OOP Kopřivnice ,"Štefánikova 370, 742 21 Kopřivnice ",974735731,974735738,njoopkopri@mvcr.cz
070414,OOP Nový Jičín,"Vančurova 44, 741 11 Nový Jičín",974735651,974735940,njoop@mvcr.cz
070415,OOP Odry,"Osvobození 25, 742 35 Odry",974735741,556730834,njoopodry@mvcr.cz
070416,OOP Příbor,"Masarykova 637, 742 58 Příbor",974735751,556713927,njooppribo@mvcr.cz
070417,OOP Studénka ,"Sjednocení 846, 742 13 Studénka ",974735761,974735768,njoopstude@mvcr.cz
0706,Územní odbor Opava,"Hrnčířská 22, 746 25 Opava",974737111,974737900,krop@mvcr.cz
070612,OOP Hlučín ,"Dr. E. Beneše 2, 748 11 Hlučín ",974737701,974737708,opoophluci@mvcr.cz
070613,OOP Hradec nad Moravicí ,"Lidická 316, 747 41 Hradec nad Moravicí ",974737731,974737738,opoophrade@mvcr.cz
070614,OOP Kravaře,"Bezručova 102, 747 22 Kravaře",974737721,974737728,opoopkrava@mvcr.cz
070616,OOP Opava,"Vaškovo náměstí 10, 746 25 Opava",974737651,974737658,opoop@mvcr.cz
070618,OOP Velké Heraltice ,"Družstevní 41, 747 75 Velké Heraltice ",974737751,553650972,opoopvhera@mvcr.cz
070619,OOP Vítkov,"Komenského 137, 749 11 Vítkov",974737711,974737718,opoopvitko@mvcr.cz
0707,Městské ředitelství Ostrava,"30. dubna 1682/24, 729 21 Ostrava",974721111,974725900,mrova@mvcr.cz
070711,OOP Ostrava–Mariánské Hory,"Strmá 14, 709 39 Ostrava–Mariánské Hory a Hulváky",974725301,974727308,mrova.oop.marhory@mvcr.cz
070712,OOP Ostrava-Poruba 1,"Dělnická 392, 708 54 Ostrava–Poruba",974725731,974725738,mrova.oop.poruba1@mvcr.cz
070713,OOP Ostrava-Přívoz,"Wattova 1047/21, 702 10 Moravská  Ostrava a Přívoz",974727701,974727708,mrova.oop.privoz@mvcr.cz
070715,OOP Ostrava-střed,"Masná 3, 72873 Moravská Ostrava a Přívoz",974725721,974727408,mrova.oop.stred@mvcr.cz
070716,OOP Ostrava–Vítkovice,"Mečnikovova 4, 703 49 Ostrava–Vítkovice",974725771,974728208,mrova.oop.vitkovice@mvcr.cz
070717,OOP Ostrava–Zábřeh,"Náměstí SNP, 700 30 Ostrava–Zábřeh",974728301,974728308,mrova.oop.zabreh@mvcr.cz
070718,OOP Slezská Ostrava (+PS Ostrava Radvanice),"Bohumínská 65, 710 00 Slezská Ostrava",974725651,974725658,mrova.oop.slezska@mvcr.cz
070720,OOP Ostrava–Hrabůvka,"Dr. Martínka 14, 700 30 Ostrava–Hrabůvka",974725791,974725798,mrova.oop.hrabuvka@mvcr.cz
070721,OOP Ostrava–Poruba 2 (+ PS Velká Polom),"Heyrovského 9, 708 51 Ostrava–Poruba",974727601,974727608,mrova.oop.poruba2@mvcr.cz
070722,OOP Vratimov,"Frýdecká 819, 738 32 Vratimov",974728711,596732376,mrova.oop.vratimov@mvcr.cz
1400,Krajské ředitelství policie Olomouckého kraje,"Tř. Kosmonautů 189/10, 771 36 Olomouc",974766111,974761900,krpolk.reditel@mvcr.cz
1405,Územní odbor Olomouc,"Žižkovo nám. 4, 771 36 Olomouc",974766111,974766900,reditol@mvcr.cz
140512,OOP Moravský Beroun,"Nádražní 134, 793 05  Moravský Beroun",974766781,554733305,ol.oo.mberoun.stsl@pcr.cz
140513,OOP Litovel,"Husova 20, 784 01 Litovel",974766751,974766758,olooplitov@mvcr.cz
140514,OOP Lutín,"Olomoucká 138, 783 49 Lutín",974766771,974766778,olooplutin@mvcr.cz
140516,OOP Olomouc 1,"Sokolská 52, 731 36 Olomouc",974766651,974766698,ol.oo.olomouc1.stsl@pcr.cz
140518,OOP Šternberk,"Oblouková 4, 785 01 Šternberk",974766731,974766738,oloopstern@mvcr.cz
140519,OOP Uničov,"Gen. Svobody 1214, 783 91 Uničov",974766741,974766748,oloopunicov@mvcr.cz
140520,OOP Velká Bystřice,"Zámecké náměstí 17, 783 53 Velká Bystřice",974766761,585351877,oloopvbyst@mvcr.cz
140522,OOP Olomouc 2,"Heyrovského 2a, 771 36 Olomouc",974767651,974766708,oloop2@mvcr.cz
140523,OOP Olomouc 3,"Smetanova 14, 771 36 Olomouc",585227660,974766718,ol.oo.olomouc3.stsl@pcr.cz
140524,OOP Olomouc 4,"Na Trati 78, 771 36 Olomouc",974766721,974766728,oloop4@mvcr.cz
1408,Územní odbor Přerov,"U Výstaviště 18, 751 52 Přerov",974778299,581218362,srorpr@mvcr.cz
140811,OOP Hranice,"Purgešova 2, 753 01 Hranice",974778711,974778718,pr.oo.hranice.podatelna@pcr.cz
140812,OOP Kojetín,"Masarykovo Náměstí 39, 752 01 Kojetín",974778721,974778728,pr.oo.kojetin.podatelna@pcr.cz
140813,OOP Lipník nad Bečvou,"K Nadsklepí 1402, 751 31 Lipník n/B",974778731,581773260,pr.oo.lipnik.podatelna@pcr.cz
140817,OOP Přerov 1,"Čapka Drahlovského 7, 750 02 Přerov",974778651,974778658,pr.oo.prerov.podatelna@pcr.cz
140819,OOP Přerov 2,"U Výstaviště 18, 751 52 Přerov",974778701,974778708,pr.oo.prerov2.podatelna@pcr.cz
1409,Územní odbor Šumperk,"Havlíčkova 8, 787 90 Šumperk",974779299,974779900,orpvkr@mvcr.cz
