ÚTVAR,ADRESA,TELEFON,FAX,EMAIL
OOP Klatovy,"Plzeňská 90, 339 01 Klatovy ",974334654,974334666,ktoop@mvcr.cz
OOP Kolinec,"Kolinec 127, 341 42 Kolinec",974334752,376594511,ktoopkoli@mvcr.cz
OOP Nýrsko,"Klatovská 382, 340 22 Nýrsko",974334742,376571943,ktoopnyrs@mvcr.cz  
OOP Plánice,"Plánice 178, 340 34 Plánice",974334772,376394466,ktoopplani@mvcr.cz
OOP Sušice,"Na Burince 273, 342 11 Sušice",974334702,376524356,ktoopsusic@mvcr.cz
OOP Švihov,"Kolářova 266, 340 12 Švihov",974334762,376393539,ktoopsviho@mvcr.cz
OOP Železná Ruda,"1. Máje 136, 340 04 Železná Ruda",974334732,376397246,ktoopzruda@mvcr.cz
Městské ředitelství policie Plzeň,"Klatovská 45, 306 11 Plzeň",974325229,974325218,pcrmrpm@mvcr.cz 
OOP Plzeň-Lochotín,"Kaznějovská 2, 323 00 Plzeň ",974325391,974325618,pmoopkazne@mvcr.cz
OOP Plzeň-Slovany (+ PS Starý Plzenec),"Nepomucká 43, 326 00 Plzeň ",974325392,974325588,pmoopslov@mvcr.cz
OOP Plzeň-Doubravka (+PS Chrást),"Železniční 12, 326 00 Plzeň ",974325394,974325394,pmoopdoubr@mvcr.cz
OOP Plzeň-střed,"Anglické nábřeží 7, 301 00 Plzeň ",974323522,974323563,pmoopstred@mvcr.cz
OOP Plzeň-Bory,"Nemocniční 8, 301 00 Plzeň",974324450,377459196,pmoopbory@mvcr.cz
OOP Plzeň-Skvrňany,"Vejprnická 56, 318 00 Plzeň ",974325396,974325396,pmoopskvrn@mvcr.cz
OOP Plzeň-Vinice,"Strážnická 16A, 323 00 Plzeň ",974325397,974325397,pmoopvinic@mvcr.cz
Územní odbory Plzeň - venkov,"Anglické nábřeží 7, 306 10 Plzeň",974326229,974326218,pjorpj@mvcr.cz
OOP Blovice,"Hradišťská 136, 336 01 Blovice ",974326710,371523108,pjoopblov@mvcr.cz  
OOP Dobřany,"Lipová 456, 334 41 Dobřany",974326720,377971820,pjoopdobra@mvcr.cz
OOP Nepomuk,"Nádražní 292, 335 01 Nepomuk ",974326730,371592258,pjoopnepom@mvcr.cz 
OOP Přeštice,"Masarykovo náměstí 105, 334 01 Přeštice",974326740,377981233,pjoopprest@mvcr.cz
OOP Stod,"Hradecká 320, 333 01 Stod ",974326760,377901020,pjoopstod@mvcr.cz 
OOP Kaznějov,"Školní 478, 351 51 Kaznějov",373332158,373332082,psoopkazne@mvcr.cz
OOP Kralovice (+ PS Manětín),"Manětínská 396, 331 41 Kralovice",373396466,373396301,psoopkralo@mvcr.cz  
OOP Město Touškov,"Dolní nám. 1, 330 33 Město Touškov",377922220,377922010,psoopmtous@mvcr.cz
OOP Nýřany,"Křížíkova 394, 330 23 Nýřany ",377931158,377931957,psoopnyran@mvcr.cz
OOP Třemošná,"Šeříková 412, 330 11 Třemošná",377953415,377954422,psooptremo@mvcr.cz 
OOP Úněšov,"Úněšov 70, 330 38 Úněšov",373315224,373315324,psoopuneso@mvcr.cz
Územní odbory Rokycany,"Čelakovského 902, 337 01 Rokycany",974335111,974335218,pcrorro@mvcr.cz
OOP Hrádek,"1. máje 269, 338 42 Hrádek ",974335710,371787400,rooophrade@mvcr.cz
OOP Radnice (+ PS Zbiroh),"Plzeňská 55, 337 28 Radnice",974335700,371795555,rooopradni@mvcr.cz
OOP Rokycany,"Jiráskova 179, 337 01 Rokycany",974335650,974335658,rooop@mvcr.cz
Územní odbory Tachov,"Plánská 2032, 347 01 Tachov",974337111,974337238,pcrortc@mvcr.cz  
OOP Bor,"Sadová 613, 348 02 Bor ",974337720,374790316,tcoobor@mvcr.cz
OOP Konstantinovy Lázně,"Tichá 5, 349 52 Konstantinovy Lázně",974337750,374625576,tcoopklazn@mvcr.cz
OOP Planá,"Tachovská 874, 348 15 Planá",974337740,374793075,tcoopplana@mvcr.cz
OOP Stříbro,"Tř. 5.května 813, 349 01 Stříbro ",974337730,374622194,tcoopstrib@mvcr.cz
OOP Tachov,"Plánská 2018, 347 01 Tachov",974337710,974337718,tcoop@mvcr.cz
Krajské ředitelství policie Ústeckého kraje,"Lidické náměstí 9, 401 79 Ústí nad Labem",974421229,974427006,krssck@mvcr.cz
Územní odbory Louny,"Cukrovarská zahrada 1124, 440 53 Louny",974437111,974437108,srorln@mvcr.cz
OOP Louny,"Cukrovarská zahrada 1124, 440 53 Louny  ",974437651,974437905,lnoop@mvcr.cz
OOP Podbořany (+PS Kryry),"Hlubanská 314, 441 01 Podbořany ",974445700,415214186,lnooppodbo@mvcr.cz
OOP Postoloprty,"Žižkova 338, 439 42 Postoloprty",974437700,415783176,lnooppostolo@mvcr.cz
OOP Žatec,"Dlouhá 111, 438 01 Žatec ",974446700,415712289,lnoopzatec@mvcr.cz
Územní odbory Chomutov,"Riegrova 4510, 430 01 Chomutov",974433111,974433900,cvkr@mvcr.cz
OOP Chomutov - město,"náměstí T.G.Masaryka 3100, 430 01 Chomutov",974447651,974447901,cvoop1@mvcr.cz
OOP Chomutov - Kamenná,"Riegrova 4510, 430 01 Chomutov ",974433700,974433910,cvoop2@mvcr.cz
OOP Chomutov - Černovická,"nám. T. G. Masaryka 1168, 430 01 Chomutov ",974447700,474621136,cvoop3@mvcr.cz
OOP Jirkov,"Bezručova 1037, 431 11 Jirkov",974447500,474659537,cvoopji@mvcr.cz
OOP Kadaň,"Klášterecká 1483, 432 01 Kadaň",974434700,474334535,cvoopka@mvcr.cz
OOP Klášterec nad Ohří,"Polní 685, 431 51 Klášterec nad Ohří",974434600,474396203,cvoopkl@mvcr.cz
OOP Březno (+PS Radonice),"Dlouhá 36, 431 45 Březno",974433750,474692237,cvoopbr@mvcr.cz
OOP Vejprty,"Boženy Němcové 1204/22, 431 91 Vejprty",974434500,474386382,cvoopve@mvcr.cz
Územní odbory Most,"V.Řezáče 224, 434 75 Most",974438111,974438228,mouo@mvcr.cz
OOP Most,"Václava Řezáče 224, 434 01 Most  ",974438611,974438610,mooop1@mvcr.cz
OOP Most - Zahradní,"Růžová 1406, 434 01 Most",476703787,476701209,mooop2@mvcr.cz
OOP Litvínov (+PS Lom a Meziboří),"Vodní 871, 436 01 Litvínov",476753033,476753033, mooplitvi@mvcr.cz
OOP Litvínov - Hamr (+PS Nová Ves v Horách),"Přátelství 157, 435 42 Litvínov 8",476742090,476701842, moophamr@mvcr.cz
OOP Obrnice,"Obrnice 226 , 435 21 Obrnice",476118034,476000586,moopobrni@mvcr.cz
Územní odbory Litoměřice,"Eliášova 7, 412 48 Litoměřice",974436215,974436900,pcrlt@mvcr.cz
OOP Lovosice (+ PS Libochovice),"Žižkova 469/10, 410 02 Lovosice",974436701,974436704,ltooplovo@mvcr.cz
OOP Litoměřice (+PS Úštěk a Terezín),"Stránského 1, 412 48 Litoměřice",974436651,974436911,ltoop@mvcr.cz
OOP Roudnice nad Labem,"Riegrova 636, 413 01 Roudnice nad Labem",974444700,416837351,ltooproud@mvcr.cz
OOP Štětí,"Stračenská 315, 411 08 Štětí",974436721,974436723,ltoopsteti@mvcr.cz
Územní odbory Teplice,"Masarykova třída 1363, 415 96 Teplice",974439111,974439109,rediteltp@mvcr.cz
OOP Teplice,"Vrchlického 10, 415 01 Teplice",417569471,417536090,tpoop@mvcr.cz
OOP Trnovany,"Maršovská 1537, 415 01 Teplice",417570160,417537799,tpooptrno@mvcr.cz
OOP Prosetice,"Prosetická 283, 415 01 Teplice",417538700,417533923,tpoopprose@mvcr.cz
OOP Krupka,"K. Čapka 273, 417 42 Krupka",417861244,417535477,tpoopkrup@mvcr.cz
OOP Dubí,"Krušnohorská 124/2, 417 01 Dubí",417530741,417560734,tpoopdubi@mvcr.cz
OOP Duchcov,"Sadová 1213/13, 419 01 Duchcov",417835444,417836022,tpoopduch@mvcr.cz
OOP Bílina,"Studentská 874/94, 418 23 Bílina",417823333,417535893,tpoopbili@mvcr.cz
Územní odbory Ústí nad Labem,"Dlouhá 2, 400 67 Ústí nad Labem",974426111,974427032,orustinl@mvcr.cz 
OOP Ústí nad Labem-město,"Masarykova 47, 400 01 Ústí nad Labem",974426651,974427024,oruloop1@mvcr.cz 
OOP Střekov (+ PS Velké Březno),"Truhlářova 30, 400 03 Ústí nad Labem",974426711,475531717,uloopstr@mvcr.cz
OOP Neštěmice,"Horní 194, 403 31 Ústí nad Labem - Mojžíř",974426721,472733827,uloopnes@mvcr.cz
OOP Chlumec (+ PS Libouchec),"Muchova 226, 403 39 Chlumec",475223234,974427099,uloopchl@mvcr.cz
OOP Trmice,"Lovecká 10, 400 04 Trmice",974426741,974426741,ulooptrm@mvcr.cz
OOP Všebořice,"Všebořická 11, 400 10 Ústí nad Labem",974426751,475601326,uloopvse@mvcr.cz
OOP Ústí nad Labem - Krásné Březno," Předmostí 50, 400 02 Ústí nad Labem ",974426761,475501310,uloopkrb@mvcr.cz
Územní odbory Děčín,"Kaštanová 2, 405 58 Děčín",974432111,974432108,pcrdecin@mvcr.cz
OOP Benešov nad Ploučnicí,"Míru 1, 407 22 Benešov nad Ploučnicí",974432701,412586333,dcoopbene@mvcr.cz
OOP Česká Kamenice,"Duk. Hrdinů 457, 407 21 Česká Kamenice",974432711,412582371,dcoopckam@mvcr.cz
OOP Děčín-město (+PS Hřensko),"Čsl. Mládeže 89/4, 405 02 Děčín",974432771,412530067,dcoop@mvcr.cz
OOP Děčín - Podmokly (+PS Jílové),"Tržní, 7405 02  Děčín 4",974432651,412530067,dcoop@mvcr.cz
OOP Krásná Lípa,"Stradalova 1027, 407 46 Krásná Lípa",974432731,412383277,dcoopklipa@mvcr.cz
OOP Rumburk,"Třída 9. května, 408 11 Rumburk",974442651,412310598,dcooprbk@mvcr.cz
OOP Šluknov,"Sokolovská 1036, 407 77 Šluknov",974432751,974432758,dcoopsluk@mvcr.cz
OOP Varnsdorf,"Havlíčkova 2040/9, 407 47 Varnsdorf",974432741,412372377,dcoopvdf@mvcr.cz
OOP Velký Šenov,"Lipovská 551, 407 78 Velký Šenov",974432761,412391333,dcoopvsen@mvcr.cz
Krajské ředitelství policie Libereckého kraje,"Nám. Dr. E. Beneše 584/24, 460 32 Liberec",974461111,974461028,podatelna.krplb@mvcr.cz
Územní odbory Česká Lípa,"Pod Holým vrchem 1734, 470 01 Česká Lípa",974471229,974471976,krcl@mvcr.cz
OOP Česká Lípa,"Paní Zdislavy 299,470 01 Česká Lípa",974471760,974471972,cl.oo.ceskalipa@pcr.cz
OOP Nový Bor,"T.G.Masaryka 7, 473 01 Nový Bor",974471710,487727385,cl.oo.novybor@pcr.cz
OOP Doksy,"Máchova 144, 472 01 Doksy",974471715,974471717,cl.oo.doksy@pcr.cz
OOP Mimoň,"Mírová 129, 471 24 Mimoň",974471720,487862200,cl.oo.mimon@pcr.cz
OOP Stráž pod Ralskem,"nám. 5. května 250, 471 27 Stráž pod Ralskem",974471725,974471727,cl.oo.straz@pcr.cz
OOP Jablonné v Podještědí,"Alšova 333, 471 25 Jablonné v Podještědí",487762333,487762416,cl.oo.jablonne@pcr.cz
OOP Cvikov,"Čsl. armády 136, 471 54 Cvikov",487751333,487752033,cl.oo.cvikov@pcr.cz
OOP Žandov,"Náměstí 133, 471 07 Žandov",974471620,974471621,cl.oo.zandov@pcr.cz
Územní odbory Liberec,"Pastýřská 3, 460 74 Liberec",974466229,974466902,redlbc@mvcr.cz
OOP Liberec - centrum,"Krajinská 487/13, 460 01 Liberec 1",974467100,974467108,lb.oo.centrum@pcr.cz
OOP Liberec-Vápenka,"ul. 28. října 253/1, 460 07 Liberec 7",974467200,485152523,lb.oo.vapenka@pcr.cz
OOP Liberec - Vesec,"Šumná 357, 463 12 Liberec 25",974466756,974466758,lb.oo.vesec@pcr.cz
OOP Liberec - Vratislavice,"Tanvaldská 50, 463 11 Liberec 30",974466761,974466768,lb.oo.vratislavice@pcr.cz
OOP Hrádek nad Nisou,"Husova 196, 463 34 Hrádek n/N",974466731,974466733,lb.oo.hradek@pcr.cz
OOP Chrastava,"Pobřežní 430, 463 31 Chrastava",974466736,974466736,lb.oo.chrastava@pcr.cz
OOP Český Dub,"17. listopadu 51, 463 43 Český Dub",974466771,485147233,lb.oo.ceskydub@pcr.cz
OOP Hodkovice nad Mohelkou,"nám. T.G.Masaryka 1, 463 42 Hodkovice n. M.",974466726,485145170,lb.oo.hodkovice@pcr.cz
OOP Frýdlant,"Úzká 1259, 464 01 Frýdlant",974473300,974473308,lb.oo.frydlant@pcr.cz
OOP Nové Město pod Smrkem,"Jindřichovická 145, 463 65 Nové Město p. S.",974473401,482325333,lb.oo.novemesto@pcr.cz
OOP Hejnice,"Lázeňská 381, 463 62 Hejnice",974473501,482322158,lb.oo.hejnice@pcr.cz
Územní odbory Jablonec nad Nisou,"28. října 10, 466 73 Jablonec nad Nisou",974474229,974474900,krjn@mvcr.cz 
OOP Smržovka,"LIdické náměstí 730, 468 51 Smržovka",974480600,483382226,jn.oo.smrzovka@pcr.cz
OOP Železný Brod,"Vaněčkova 729, 468 22 Železný Brod",974480300,974480308,jn.oo.zeleznybrod@pcr.cz
OOP Jablonec nad Nisou - Mšeno,"Mládí 2, 466 04 Jablonec n.N.-Mšeno",974474741,974474740, jn.oo.mseno@pcr.cz
OOP Tavald,"Poštovní 242, 468 41 Tanvald",974480200,974480208, jn.oo.tanvald@pcr.cz
OOP Jablonec nad Nisou,"5.května 60, 466 73 Jablonec nad Nisou",974474651,974474903,jn.oo.jablonec@pcr.cz
OOP Rychnov u Jablonce nad Nisou,"Sokolská 549, 468 02 Rychnov u Jablonce n.N.",974474721,483388952,jn.oo.rychnov@pcr.cz 
Územní odbory Semily,"Vysocká 225, 513 15 Semily",974475111,974475228,pcrorsm@mvcr.cz  
OOP Semily,"Vysocká 225, 513 01 Semily",974475651,974475658,sm.oo.semily@pcr.cz
OOP Harrachov,"Harrachov 102, 512 46 Harrachov",974475741,974475741,sm.oo.harrachov@pcr.cz 
OOP Rokytnice nad Jizerou,"Dolní Rokytnice 359, 512 44 Rokytnice nad Jizerou",974475731,974475731, sm.oo.rokytnice@pcr.cz
OOP Jilemnice,"Geologa Pošepného 380, 514 01 Jilemnice",974475711,481544855,sm.oo.jilemnice@pcr.cz
OOP Lomnice nad Popelkou,"Husovo náměstí 36, 512 51 Lomnice nad Popelkou",974475701,974475708,sm.oo.lomnice@pcr.cz
OOP Turnov,"Žižkova ul., 511 01 Turnov",974475721,974475728, sm.oo.turnov@pcr.cz
Krajské ředitelství policie Královéhradeckého kraje ,"Ulrichovo nám. 810, 501 01 Hradec Králové",974521111,974521228, krp.khk@mvcr.cz
Územní odbory Hradec králové ,"Mrštíkova 541, 500 09 Hradec Králové",974521111,974526900,hkvs@mvcr.cz
OOP Hradec Králové 1,"Gočárova třída 1653, 500 02 Hradec Králové 2",974526651,974526652,hkoop1@mvcr.cz
OOP Hradec Králové 2,"Pospíšilova třída 1103, 500 03 Hradec Králové 3",974526661,974526668,hkoop2@mvcr.cz
OOP Hradec Králové 3,"Mrštíkova 541, 500 09 Hradec Králové",974526671,974526678,hkoop3@mvcr.cz
OOP Holohlavy,"Na Výsluní 171, 503 03 Holohlavy",974526701,974526708,hkoophol@mvcr.cz
OOP Chlumec nad Cidlinou,"Pražská 82, 503 51 Chlumec nad Cidlinou",974526711,974526718,hkoopchlum@mvcr.cz
OOP Nový Bydžov (+PS Nechanice),"A. Jiráska 545, 504 01 Nový Bydžov",974526731,974526738,hkoopnoby@mvcr.cz
OOP Třebechovice pod Orebem,"Žižkova 850, 503 46 Třebechovice pod Orebem",974526741,974526748,hkooptreb@mvcr.cz
Územní odbory Jičín,"Balbínova 24, 506 12 Jičín",974533111,974533228,jcvs@mvcr.cz
OOP Jičín,"Balbínova 23, 506 12 Jičín",974533651,974533940,jcoop@mvcr.cz
OOP Hořice,"Nám. Jiřího z Poděbrad 158, 508 01 Hořice",974533701,974533701,jcoophor@mvcr.cz
OOP Kopidlno,"Tomáše Svobody 106, 507 32 Kopidlno",974533711,974533711,jcoopkop@mvcr.cz
OOP Nová Paka,"U Stadionu 37, 509 01 Nová Paka",974533721,974533721,jcoopnopa@mvcr.cz
OOP Sobotka ,"Boleslavská 329, 507 43 Sobotka ",974533731,974533731,jcoopsob@mvcr.cz
Územní odbory Náchod,"Husovo nám. 698, 547 45 Náchod",974534111,974534108,napcr@mvcr.cz
OOP Broumov,"T.G. Masaryka 248, 550 01 Broumov",974534701,974534708,naoopbrou@mvcr.cz
OOP Česká Skalice,"Pivovarská 54, 552 03 Česká Skalice",974534721,974534728,naoopcesk@mvcr.cz
OOP Hronov (+ PS Červený Kostelec),"Jiráskova 169, 549 31 Hronov",974534731,974534731,naoophron@mvcr.cz
OOP Jaroměř,"Patrného 270, 551 01 Jaroměř",974534741,974534748,naoopjar@mvcr.cz
OOP Náchod,"Husovo náměstí 698, 547 45 Náchod",974534651,974534658,naoop@mvcr.cz
OOP Nové Město nad Metují,"Komenského 146, 549 01 Nové Město nad Metují",974534751,974534758,naoopnome@mvcr.cz
OOP Police nad Metují (+ PSTeplice nad Metují),"U Opatrovny 87, 549 54 Police nad Metují",974534761,974534761,naooppol@mvcr.cz
Územní odbory Rychnov nad Kněžnou,"Zborovská 1360, 560 01 Rychnov nad Kněžnou",974536111,974536228,rkvs@mvcr.cz
OOP Rychnov nad Kněžnou,"Zborovská 1360, 516 01 Rychnov nad Kněžnou",974536651,974536658,rkoop@mvcr.cz 
OOP Kostelec nad Orlicí,"Rudé armády 3, 517 41 Kostelec nad Orlicí",974536711,974536718,rkoopkost@mvcr.cz
OOP Dobruška (+ PS Opočno),"Šubertovo náměstí 516, 518 01 Dobruška",974536701,974536708,rkoopdobr@mvcr.cz 
OOP Týniště nad Orlicí,"Čapkova 645, 517 21 Týniště nad Orlicí",974536721,974536728,rkooptyn@mvcr.cz
OOP Rokytnice v Orlických horách,"nám.T.G. Masaryka 4, 517 61 Rokytnice v Orl. hor.",974536731,974536738,rkooprok@mvcr.cz
Územní odbory Trutnov,"Roty Nazdar 497, 541 11 Trutnov",974539111,974539228,ortu@mvcr.cz
OOP Trutnov,"Roty Nazdar 496, 541 11 Trutnov",974539651,974539940,tuoop@mvcr.cz
OOP Dvůr Králové nad Labem,"Legionářská 1234, 544 01 Dvůr Králové nad Labem",974539701,974539708,tuoopdk@mvcr.cz
OOP Vrchlabí ,"Zámecká 53, 543 01 Vrchlabí ",974539761,974539768,tuoopvrch@mvcr.cz
OOP Úpice,"Regnerova 265, 542 32 Úpice",974539751,974539758,tuoopupic@mvcr.cz
OOP Pec pod Sněžkou,"Velká Úpa 164, 542 22 Pec pod Sněžkou",974539721,974539721,tuooppec@mvcr.cz
OOP Hostinné,"Horská 520, 543 71 Hostinné",974539711,974539718,tuoophost@mvcr.cz
OOP Svoboda nad Úpou,"Lázeňská 215, 542 24 Svoboda nad Úpou",974539731,974539731,tuoopsvob@mvcr.cz
OOP Špindlerův Mlýn,"Bedřichov 53, 543 51 Špindlerův Mlýn",974539741,974539748,tuoopspm@mvcr.cz
OOP Žacléř,"Komenského 71, 542 01 Žacléř",974539771,974539778,tuoopzac@mvcr.cz
Krajské ředitelství policie Pardubického kraje ,"Na Spravedlnosti 2516, 530 48 Pardubice",974566111,974561228,krp.pu@mvcr.cz
Územní odbory Svitavy,"Purkyňova 2, 568 02 Svitavy",974578111,974578900,pcrkrsy@mvcr.cz
OOP Svitavy,"Vrchlického 2245/44, 568 02 Svitavy ",974578651,974578940,syoop@mvcr.cz  
OOP Litomyšl,"Vodní Valy 1142, 570 01 Litomyšl ",974578711,974578718,syooplit@mvcr.cz
OOP Moravská Třebová,"Komenského 52, 571 01 Moravská Třebová",974578721,974578728,syoopmotr@mvcr.cz  
OOP Polička,"Wolkerova 620, 572 01 Polička",974578731,974578738,syooppol@mvcr.cz
Územní odbory Chrudim ,"Všehrdovo náměstí 46, 537 20 Chrudim",974572111,974572108,uovscr@mvcr.cz
OOP Heřmanův Městec,"Čáslavská 276, 538 03 Heřmanův Městec",974572711,974572718,croophem@mvcr.cz  
OOP Hlinsko,"Ležáků 1351, 539 01 Hlinsko",974572701,469311334,croophlin@mvcr.cz
OOP Chrast,"Šmídova 414, 538 51 Chrast",974572721,974572728,croopchra@mvcr.cz
OOP Chrudim,"Hradební 47, 537 20 Chrudim",974572653,974572658,croop@mvcr.cz  
OOP Skuteč ,"Sadová 387, 539 73 Skuteč ",974572731,469350355,croopskut@mvcr.cz 
OOP Třemošnice ,"Tovární 320, 538 43 Třemošnice ",469661796,469661796,crooptrem@mvcr.cz 
Územní odbory Ústí nad Orlicí ,"Dělnická 1188, 562 27 Ústí nad Orlicí",974580111,974580108,uovs@mvcr.cz
OOP Ústí nad Orlicí ,"Letohradská 759, 562 01 Ústí nad Orlicí ",974580660,974580662,uoop@mvcr.cz
OOP Česká Třebová ,"Nádražní 439, 560 02 Česká Třebová ",974580701,465533013,uooopcetr@mvcr.cz  
OOP Choceň,"Dolní 261, 565 01 Choceň",465471531,465471949,uooopchoc@mvcr.cz
OOP Králíky,"5. Května, 561 69 Králíky",974580721,465631426,uooopkral@mvcr.cz
OOP Lanškroun,"Dukelských hrdinů 423, 563 01 Lanškroun",465321092,465323245,uoooplan@mvcr.cz
OOP Letohrad,"Požárníků 330, 561 51 Letohrad",465620432,465621663,uoooplet@mvcr.cz
OOP Vysoké Mýto ,"Generála Závady 176/IV, 566 01 Vysoké Mýto ",465420847,465420295,uooopvymy@mvcr.cz
OOP Žamberk,"Husovo nábřeží 314, 564 01 Žamberk",974580751,974580758,uooopzam@mvcr.cz
Územní odbory Pardubice ,"Na Spravedlnosti 2516, 530 47 Pardubice",974566111,974566219,pauovssekr@mvcr.cz
OOP Pardubice 1,"Na Spravedlnosti 2516, 530 47 Pardubice",974566651,974566663,paoop1@mvcr.cz  
OOP Pardubice 2,"Prodloužená 285, 530 09 Pardubice",974566701,974566708,paoop2@mvcr.cz
OOP Pardubice 3,"Jana Zajíce 946, 530 12 Pardubice ",974566721,974566728,paoop3@mvcr.cz
OOP Pardubice 4,"Rožkova 2757, 530 02 Pardubice",974566731,974566738,paoop4@mvcr.cz
OOP Holice,"Hradecká 1036, 534 01 Holice v Čechách",974566751,974566758,paoophol@mvcr.cz  
OOP Chvaletice,"Obránců Míru 147, 533 12 Chvaletice",974566761,974566768,paoopchval@mvcr.cz
OOP Lázně Bohdaneč ,"Na Lužci 718, 533 41 Lázně Bohdaneč ",974566771,974566778,paooplabo@mvcr.cz
OOP Přelouč,"Pražská 20, 535 01 Přelouč",974566781,974566788,paoopprel@mvcr.cz
Krajské ředitelství policie kraje Vysočina,"Vrchlického 46, 587 24 Jihlava",974266111,974261700,podatelna@policievysocina.cz
Územní odbory Havlíčkův Brod,"Husova 2894, 580 02 Havlíčkův Brod",974271229,974271908,hbkr@mvcr.cz
OOP Havlíčkův Brod (+PS Přibyslav),"Husova 2894, 580 01 Havlíčkův Brod",974271651,974271658,hboop@mvcr.cz
OOP Chotěboř (+PS Golčův Jeníkov),"Hromádky z Jistebnice 1740, 583 01 Chotěboř",974271711,974271718,hboopchot@mvcr.cz
OOP Světlá nad Sázavou (+PS Ledeč n. S.),"Nám. Trčků z Lípy 1045, 582 91 Světlá nad Sázavou",974271741,974271748,hboopsvet@mvcr.cz
Územní odbory Pelhřimov,"Pražská 1738, 393 31 Pelhřimov",974274229,974274900,peorkr@mvcr.cz
OOP Pelhřimov,"Karlovo nám. 201, 393 01 Pelhřimov",974274651,974274658,peoop@mvcr.cz
OOP Humpolec,"Žižkova 922, 396 01 Humpolec",974274721,974274728,peoophumpo@mvcr.cz
OOP Pacov,"Václava Plačka 828, 395 01 Pacov",974274741,974274748,peooppacov@mvcr.cz
OOP Kamenice nad Lipou (+PS Počátky),"Komenského 627, 394 70 Kamenice nad Lipou",974274731,974274738,peoopkamen@mvcr.cz
Územní odbory Jihlava,"Vrchlického 46, 587 24 Jihlava",974266229,974266700,uo.vs@policievysocina.cz
OOP Jihlava,"Vrchlického 46, 587 24 Jihlava",974266659,974266706,jioop@mvcr.cz
OOP Polná,"Husovo náměstí 15, 588 13 Polná",974266701,nemají,jiooppolna@mvcr.cz
OOP Telč,"Luční 625, 588 56 Telč",974266721,nemají,jiooptelc@mvcr.cz 
OOP Třešť ,"Nádražní 488, 589 01 Třešť ",974266741,nemají,jiooptrest@mvcr.cz
Územní odbory Žďár nad Sázavou,"Brněnská 23, 591 20 Žďár nad Sázavou",974282111,974282507,personzr@mvcr.cz
OOP Bystřice nad Pernštejnem,"Nádražní 159, 593 01 Bystřice nad Pernštejnem",974282701,974282708,zroopbnp@mvcr.cz
OOP Nové Město na Moravě,"Žďárská 43, 592 31 Nové Město na Moravě",974282741,974282748,zroopnmnm@mvcr.cz
OOP Velké Meziříčí,"Zámecká 946, 594 01 Velké Meziříčí",974282721,974282728,zroopvmez@mvcr.cz
OOP Žďár nad Sázavou,"Brněnská 23, 591 20 Žďár nad Sázavou",974282651,974282658,zroop@mvcr.cz
Územní odbory Třebíč,"Bráfova 11, 674 01 Třebíč",974277111,974277900,redtr@mvcr.cz
OOP Hrotovice (+ PS Jaroměřice n. Rokytnou),"náměstí 8. května 608, 675 55 Hrotovice",974277701,974277708,troophrot@mvcr.cz
OOP Jemnice,"Lípová 924, 675 31 Jemnice",974277731,974277738,troopjemni@mvcr.cz 
OOP Moravské Budějovice,"Pražská 1095, 676 02 Moravské Budějovice",974277741,974277748,troopmbud@mvcr.cz
OOP Náměšť nad Oslavou,"Třebíčská 924, 675 71 Náměšť nad Oslavou",974277761,974277768,troopnno@mvcr.cz 
OOP Třebíč (+ PS Okříšky),"Bráfova 3, 674 01 Třebíč",974277651,974277658,troop@mvcr.cz
Krajské ředitelství policie Jihomoravského kraje,"Kounicova 24, 611 32 Brno",974621111,974625508,redbrn@mvcr.cz
Územní odbory Znojmo,"Pražská 59, 670 20 Znojmo",974641229,974641671,pcrznpis@mvcr.cz
OOP Hrušovany nad Jevišovkou,"nám. Míru 87, 671 67 Hrušovany nad Jevišovkou",974641840,974641845,znoophrus@mvcr.cz
OOP Jevišovice,"Jevišovice 337, 671 53 Jevišovice",974641602,974641612,znoopjevis@mvcr.cz 
OOP Moravský Krumlov,"Školní 163, 672 01 Moravský Krumlov",974641650,974641613,znoopmkru@mvcr.cz
OOP Vranov nad Dyjí,"8. května 155, 671 03 Vranov nad Dyjí",974641605,974641627,znoopvnd@mvcr.cz
OOP Znojmo (+PS Prosiměřice),"Pražská 59, 670 20 Znojmo",974641606,974641676,znoop@mvcr.cz
Územní odbory Brno-venkov,"Rybářská 17, 611 33 Brno",974626229,974626440,uovsbrnov@policiebrno.cz  
OOP Ivančice,"Josefa Vávry 30, 664 91 Ivančice",974626441,974626708,  bo.oop.ivancice.podatelna@pcr.cz
OOP Kuřim,"Svatopluka Čecha 967, 664 34 Kuřim",974626710,974626718,bo.oop.kurim.podatelna@pcr.cz
OOP Pohořelice,"Loděnická 754, 691 23 Pohořelice",974632791,519424575,bv.oop.pohorelice.podatelna@pcr.cz
OOP Rajhrad,"Štefánikova 109, 664 61 Rajhrad",974626720,974626728,bo.oop.rajhrad.podatelna@pcr.cz
OOP Rosice,"Komenského nám. 263, 665 01 Rosice",974626730,974626738,bo.oop.rosice.podatelna@pcr.cz
OOP Šlapanice ,"Masarykovo nám. 13, 664 51 Šlapanice ",974626740,974626748,bo.oop.slapanice.podatelna@pcr.cz
OOP Tišnov,"Majorova 763, 666 01 Tišnov",974626446,974626446,bo.oop.tisnov.podatelna@pcr.cz
OOP Židlochovice,"Masarykova 102, 667 01 Židlochovice",974626760,974626768,bo.oop.zidlochovice.podatelna@pcr.cz
