"Obec/město/KATASTR","Okres","Kraj","PČR útvar","Číslo katastru","Původní (chybné) zařazení/Poznámka","PRIORITA",,
"Horní Vltavice","Prachatice","Jihočeský kraj","OOP Horní Vltavice",,,,"oop horní vltavice",
"Kubova Huť","Prachatice","Jihočeský kraj","OOP Horní Vltavice",,,,"oop horní vltavice",
"Kvilda","Prachatice","Jihočeský kraj","OOP Horní Vltavice",,,,"oop horní vltavice",
"Lenora","Prachatice","Jihočeský kraj","OOP Horní Vltavice",,,,"oop horní vltavice",
"Nové Hutě","Prachatice","Jihočeský kraj","OOP Horní Vltavice",,,,"oop horní vltavice",
"Strážný","Prachatice","Jihočeský kraj","OOP Horní Vltavice",,,,"oop horní vltavice",
"Běštín","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Cerhovice","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Chaloupky","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Drozdov","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Felbabka","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Hořovice","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Hostomice","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Hvozdec","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Jivina","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Komárov","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Lhotka","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Lochovice","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Malá Víska","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Neumětely","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Olešná","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Osek","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Podluhy","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Rpety","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Tlustice","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Újezd","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Velký Chlumec","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Zaječov","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Záluží","Beroun","Středočeský kraj","OOP Hořovice",,,,"oop hořovice",
"Blížejov","Domažlice","Plzeňský kraj","OOP Horšovský Týn",,,,"oop horšovský týn",
"Horšovský Týn","Domažlice","Plzeňský kraj","OOP Horšovský Týn",,,,"oop horšovský týn",
"Meclov","Domažlice","Plzeňský kraj","OOP Horšovský Týn",,,,"oop horšovský týn",
"Mezholezy (dříve okres Horšovský Týn)","Domažlice","Plzeňský kraj","OOP Horšovský Týn",,,,"oop horšovský týn",
"Mířkov","Domažlice","Plzeňský kraj","OOP Horšovský Týn",,,,"oop horšovský týn",
"Semněvice","Domažlice","Plzeňský kraj","OOP Horšovský Týn",,,,"oop horšovský týn",
"Srby","Domažlice","Plzeňský kraj","OOP Horšovský Týn",,,,"oop horšovský týn",
"Velký Malahov","Domažlice","Plzeňský kraj","OOP Horšovský Týn",,,,"oop horšovský týn",
"Vidice","Domažlice","Plzeňský kraj","OOP Horšovský Týn",,,,"oop horšovský týn",
"Čermná","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Chotěvice","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Dolní Kalná","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Dolní Olešnice","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Horní Kalná","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Horní Olešnice","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Hostinné","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Klášterská Lhota","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Prosečné","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Rudník","Trutnov","Královéhradecký kraj","OOP Hostinné",,,,"oop hostinné",
"Červený Újezd","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Choteč","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Chrášťany","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Chýně","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Chýnice","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Dobříč","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Dobrovíz","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Drahelčice","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Hostivice","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Jeneč","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Jinočany","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Kněževes","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Nučice","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Ořech","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Ptice","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Rudná","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Středokluky","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Tachlovice","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Tuchoměřice","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Úhonice","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Zbuzany","Praha-západ","Středočeský kraj","OOP Hostivice",,,,"oop hostivice",
"Stěžery","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",,,,"oop hradec králové 1",
"STĚŽÍNKY","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",755478,,2,"oop hradec králové 1",
"STĚŽERY","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",755451,,2,"oop hradec králové 1",
"SVOBODNÉ DVORY","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",761125,,2,"oop hradec králové 1",
"PLOTIŠTĚ NAD LABEM","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",721930,,2,"oop hradec králové 1",
"PLÁCKY","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",721204,,2,"oop hradec králové 1",
"PLAČICE","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",721212,,2,"oop hradec králové 1",
"KUKLENY","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",647209,,2,"oop hradec králové 1",
"PRAŽSKÉ PŘEDMĚSTÍ","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",647101,,2,"oop hradec králové 1",
"BŘEZHRAD","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",613878,,2,"oop hradec králové 1",
"HRADEC KRÁLOVÉ","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 1",646873,"Pouze část na západ od Labe",2,"oop hradec králové 1",
"Hradec Králové","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 2",,,,"oop hradec králové 2",
"SKALIČKA NAD LABEM","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 2",748013,,2,"oop hradec králové 2",
"RUSEK","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 2",743674,,2,"oop hradec králové 2",
"VĚKOŠE","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 2",726583,,2,"oop hradec králové 2",
"POUCHOV","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 2",726559,,2,"oop hradec králové 2",
"PILETICE","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 2",726541,,2,"oop hradec králové 2",
"SLATINA U HRADCE KRÁLOVÉ","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 2",749656,,2,"oop hradec králové 2",
"SLEZSKÉ PŘEDMĚSTÍ","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 2",646971,,2,"oop hradec králové 2",
"HRADEC KRÁLOVÉ","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 2",646873,"Pouze část mezi soutokem Labe a Orlice",2,"oop hradec králové 2",
"Vysoká nad Labem","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",,,,"oop hradec králové 3",
"HRADEC KRÁLOVÉ","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",646873,"Pouze část na jih od Orlice",2,"oop hradec králové 3",
"MALŠOVICE U HRADCE KRÁLOVÉ","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",646997,,2,"oop hradec králové 3",
"MALŠOVA LHOTA","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",691305,,2,"oop hradec králové 3",
"SVINARY","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",760765,,2,"oop hradec králové 3",
"NOVÝ HRADEC KRÁLOVÉ","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",647187,,2,"oop hradec králové 3",
"TŘEBEŠ","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",647047,,2,"oop hradec králové 3",
"KLUKY","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",647225,,2,"oop hradec králové 3",
"ROUDNIČKA","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",741825,,2,"oop hradec králové 3",
"VYSOKÁ NAD LABEM","Hradec Králové","Královéhradecký kraj","OOP Hradec Králové 3",788082,,2,"oop hradec králové 3",
"Branka u Opavy","Opava","Moravskoslezský kraj","OOP Hradec nad Moravicí",,,,"oop hradec nad moravicí",
"Březová","Opava","Moravskoslezský kraj","OOP Hradec nad Moravicí",,,,"oop hradec nad moravicí",
"Chvalíkovice","Opava","Moravskoslezský kraj","OOP Hradec nad Moravicí",,,,"oop hradec nad moravicí",
"Hlubočec","Opava","Moravskoslezský kraj","OOP Hradec nad Moravicí",,,,"oop hradec nad moravicí",
"Hradec nad Moravicí","Opava","Moravskoslezský kraj","OOP Hradec nad Moravicí",,,,"oop hradec nad moravicí",
"Raduň","Opava","Moravskoslezský kraj","OOP Hradec nad Moravicí",,,,"oop hradec nad moravicí",
"Skřipov","Opava","Moravskoslezský kraj","OOP Hradec nad Moravicí",,,,"oop hradec nad moravicí",
"Vršovice","Opava","Moravskoslezský kraj","OOP Hradec nad Moravicí",,,,"oop hradec nad moravicí",
"Dobřív","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Hrádek","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Kakejcov","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Kamenný Újezd","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Kornatice","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Mešno","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Mirošov","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Nevid","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Příkosice","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Raková","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Skořice","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Štítov","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Strašice","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Těně","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Trokavec","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Veselá","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Vísky","Rokycany","Plzeňský kraj","OOP Hrádek",,,,"oop hrádek",
"Chotyně","Liberec","Liberecký kraj","OOP Hrádek nad Nisou",,,,"oop hrádek nad nisou",
"Hrádek nad Nisou","Liberec","Liberecký kraj","OOP Hrádek nad Nisou",,,,"oop hrádek nad nisou",
"Rynoltice","Liberec","Liberecký kraj","OOP Hrádek nad Nisou",,,,"oop hrádek nad nisou",
"Bratřínov","Praha-západ","Středočeský kraj","OOP Hradištko",,,,"oop hradištko",
"Buš","Praha-západ","Středočeský kraj","OOP Hradištko",,,,"oop hradištko",
"Davle","Praha-západ","Středočeský kraj","OOP Hradištko",,,,"oop hradištko",
"Hradištko","Praha-západ","Středočeský kraj","OOP Hradištko",,,,"oop hradištko",
"Hvozdnice","Praha-západ","Středočeský kraj","OOP Hradištko",,,,"oop hradištko",
"Měchenice","Praha-západ","Středočeský kraj","OOP Hradištko",,,,"oop hradištko",
"Slapy","Praha-západ","Středočeský kraj","OOP Hradištko",,,,"oop hradištko",
"Štěchovice","Praha-západ","Středočeský kraj","OOP Hradištko",,,,"oop hradištko",
"SÁZAVA U PETROVA","Praha-západ","Středočeský kraj","OOP Hradištko",719749,"OOP Jílové u Prahy",2,"oop hradištko",
"Bojanovice","Příbram","Středočeský kraj","OOP Hradištko",,,,"oop hradištko",
"Bělotín","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Býškovice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Černotín","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Dolní Těšice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Horní Těšice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Horní Újezd","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Hrabůvka","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Hranice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Hustopeče nad Bečvou","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Jindřichov","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Klokočí","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Malhotice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Milenov","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Milotice nad Bečvou","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Olšovec","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Opatovice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Paršovice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Partutovice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Polom","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Potštát","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Provodovice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Radíkov","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Rakov","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Rouské","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Skalička","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Špičky","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Střítež nad Ludinou","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Teplice nad Bečvou","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Ústí","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Všechovice","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Zámrsky","Přerov","Olomoucký kraj","OOP Hranice na Moravě",,,,"oop hranice na moravě",
"Arnoltice","Děčín","Ústecký kraj","OOP Hřensko",,"Sloučeno pod OOP Děčín",2,"oop hřensko",
"Bynovec","Děčín","Ústecký kraj","OOP Hřensko",,"Sloučeno pod OOP Děčín",2,"oop hřensko",
"Hřensko","Děčín","Ústecký kraj","OOP Hřensko",,"Sloučeno pod OOP Děčín",2,"oop hřensko",
"Janov","Děčín","Ústecký kraj","OOP Hřensko",,"Sloučeno pod OOP Děčín",2,"oop hřensko",
"Labská Stráň","Děčín","Ústecký kraj","OOP Hřensko",,"Sloučeno pod OOP Děčín",2,"oop hřensko",
"Růžová","Děčín","Ústecký kraj","OOP Hřensko",,"Sloučeno pod OOP Děčín",2,"oop hřensko",
"Červená Hora","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Červený Kostelec","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Horní Radechová","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Hronov","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Slatina nad Úpou","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Stárkov","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Velké Poříčí","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Vysoká Srbská","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Zábrodí","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Žďárky","Náchod","Královéhradecký kraj","OOP Hronov",,,,"oop hronov",
"Bačice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Biskupice-Pulkov","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Blatnice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Bohušice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Dalešice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Dolní Vilémovice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Dukovany","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Hartvíkovice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Horní Újezd","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Hrotovice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Jaroměřice nad Rokytnou","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Kladeruby nad Oslavou","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Klučov","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Kojetice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Kramolín","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Krhov","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Lesůňky","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Lhánice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Lipník","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Litovany","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Mikulovice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Mohelno","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Myslibořice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Odunec","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Ostašov","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Petrůvky","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Popůvky","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Přešovice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Příštpo","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Račice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Radkovice u Hrotovic","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Rouchovany","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Šebkovice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Slavětice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Stropešín","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Třebenice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Třesov","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Valeč","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Výčapy","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Zárubice","Třebíč","Kraj Vysočina","OOP Hrotovice",,,,"oop hrotovice",
"Božice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Břežany","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Čejkovice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Damnice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Dolenice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Dyjákovice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Hevlín","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Hrabětice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Hrádek","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Hrušovany nad Jevišovkou","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Jaroslavice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Jiřice u Miroslavi","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Křídlůvky","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Litobratřice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Mackovice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Pravice","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Šanov","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Trnové Pole","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Velký Karlov","Znojmo","Jihomoravský kraj","OOP Hrušovany nad Jevišovkou",,,,"oop hrušovany nad jevišovkou",
"Břest","Kroměříž","Zlínský kraj","OOP Hulín",,,,"oop hulín",
"Chropyně","Kroměříž","Zlínský kraj","OOP Hulín",,,,"oop hulín",
"Hulín","Kroměříž","Zlínský kraj","OOP Hulín",,,,"oop hulín",
"Kyselovice","Kroměříž","Zlínský kraj","OOP Hulín",,,,"oop hulín",
"Pravčice","Kroměříž","Zlínský kraj","OOP Hulín",,,,"oop hulín",
"Skaštice","Kroměříž","Zlínský kraj","OOP Hulín",,,,"oop hulín",
"Žalkovice","Kroměříž","Zlínský kraj","OOP Hulín",,,,"oop hulín",
"Záříčí","Kroměříž","Zlínský kraj","OOP Hulín",,,,"oop hulín",
"Budíkov","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Bystrá","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Čejov","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Hojanovice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Hořice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Horní Rápotice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Humpolec","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Ježov","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Jiřice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Kaliště","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Kejžlice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Koberovice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Komorovice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Mladé Bříště","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Mysletín","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Píšť","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Proseč","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Řečice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Sedlice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Senožaty","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Staré Bříště","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Syrov","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Vojslavice","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Vystrkov","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
"Želiv","Pelhřimov","Kraj Vysočina","OOP Humpolec",,,,"oop humpolec",
